Name	Set	ImageFile	Type	Cost	Damage	Health	Rarity	Unique	Class	Text
Mortal Enemies	Heir_of_Slytherin	Mortal_Enemies.png	Spell	2F			C		Creatures	Choose 1 of your Creatures in play and 1 of your opponent's Creatures in play. They do damage to each other.
Muddled Memories	Heir_of_Slytherin	Muddled_Memories.png	Spell	7T			R		Transfiguration	"Look at an opponent's hand. You may choose 1 of those cards. If you do, they must use their first Action(s) to play that card. (If your opponent cannot play that card, this ability has no effect.)"
New Slytherin Seeker	Heir_of_Slytherin	New_Slytherin_Seeker.png	Spell	6Q			C		Quidditch	"Do 5 damage to an opponent. If there is a Match in play, you may have that opponent choose 1 of their Creatures in play and discard it."
Old Sock	Heir_of_Slytherin	Old_Sock.png	Item - Clothes	1C			C		Charms	"When you play this card, draw a card."
Parseltongue	Heir_of_Slytherin	Parseltongue.png	Spell	3F			C		Creatures	"Choose an opponent's Creature in play and return it to their hand. If you have Snake in play, discard your opponent's Creature instead."
Peskipiksi Pesternomi	Heir_of_Slytherin	Peskipiksi_Pesternomi.png	Spell	1T			C		Transfiguration	Discard all Wands in play.
Petrifying Stare	Heir_of_Slytherin	Petrifying_Stare.png	Spell	6F			C		Creatures	Choose an opponent's Character (other than their starting Character) or non-Rooster Creature in play. Shuffle that card into their deck.
Pre-Match Handshake	Heir_of_Slytherin	Pre-Match_Handshake.png	Spell	1Q			C		Quidditch	"Each player searches their deck. They may take a Lesson from their deck, reveal it, and put it into their hand. Each player shuffles their deck. Then you may put a [Q] Lesson from your hand into play."
Prof. Gilderoy Lockhart	Heir_of_Slytherin	Prof_Gilderoy_Lockhart.png	Character - Wizard				R	Unique		"At the end of each player's turn, if you have discarded a card from your hand, choose an opponent. They discard a card from their hand."
Polyjuice Potion	Heir_of_Slytherin	Polyjuice_Potion.png	Spell	8P			R		Potions	"To play this card, discard 1 of your [P] Lessons from play.  Choose 1 of your opponent's Wizards or Witches in play. Your starting Character gains all abilities of that card until the end of your turn."
Quaffle	Heir_of_Slytherin	Quaffle.png	Item	3Q			C		Quidditch	"Provides [Q].  When you play this card, search your deck. You may take a Match card from your deck, reveal it, and put it into your hand. Then shuffle your deck."
Quidditch Confidence	Heir_of_Slytherin	Quidditch_Confidence.png	Spell	4Q			C		Quidditch	Play this card only if there is a Match in play.  Trade total progress toward winning a Match with an opponent. Then do 4 damage to that opponent.
Quidditch Plaque	Heir_of_Slytherin	Quidditch_Plaque.png	Item	3Q			U		Quidditch	"Whenever you play a Seeker, Beater, Keeper, or Chaser Character, you use up 1 Action to play it instead of 2.  During your turn, you may discard this card from play. If you do, put a non-Healing Seeker, Beater, Keeper, or Chaser from your discard pile int"
Rooster	Heir_of_Slytherin	Rooster.png	Creature - Rooster	3F	1	3	C		Creatures	Slytherin's Basilisk cannot be played.
Sink Passageway	Heir_of_Slytherin	Sink_Passageway.png	Spell	3T			C		Transfiguration	Put a non-Healing Location card from your discard pile into your hand.
Skele-Gro	Heir_of_Slytherin	Skele-Gro.png	Spell - Healing	3P			C		Potions	"To play this card, discard 1 of your [P] Lessons from play.  Choose 3 different non-Healing cards in your discard pile. Your opponent chooses 1 of those cards. Put that card into your hand and the rest on the bottom of your deck in any order."
Skurge	Heir_of_Slytherin	Skurge.png	Spell	5C			U		Charms	Choose 2 of your non-Healing cards in play of different card types (other than your starting Character). Discard 1 of them and return the other to your hand.
Slower Brooms	Heir_of_Slytherin	Slower_Brooms.png	Item - Broom	1Q			C		Quidditch	"All cards with a Power cost (yours and your opponents') need 1 more Power to play.  If you play this card and you already have a Broom in play, discard the old one."
Slytherin's Basilisk	Heir_of_Slytherin	Slytherin's_Basilisk.png	Creature - Snake - Slytherin	9F	6	6	R	Unique	Creatures	"To play this card, discard 2 of your [F] Lessons from play. At the end of each of your turns, you may choose 1 of your opponent’s Characters or Creatures in play and put a petrification counter on it. Cards with petrification counters lose all abilities a"
Spellotape	Heir_of_Slytherin	Spellotape.png	Item	4C			U		Charms	"If you would discard another Item card from play due to an opponent's card, discard this card instead."
Substitute Cat	Heir_of_Slytherin	Substitute_Cat.png	Spell	2T			C		Transfiguration	"Search your deck. You may take an Item or Creature with printed Power cost less than or equal to the number of Lessons you have in play, reveal it, and put it into your hand. Then shuffle your deck."
Swallowed Snitch	Heir_of_Slytherin	Swallowed_Snitch.png	Item	3Q			R		Quidditch	"During your turn, if your hand contains at least 4 cards, you may discard this card from play. If you do, discard your hand to win the current Match."
Swish and Flick	Heir_of_Slytherin	Swish_and_Flick.png	Spell	2T			C		Transfiguration	Put a Lesson from your discard pile into play.
Tom Marvolo Riddle	Heir_of_Slytherin	Tom_Marvolo_Riddle.png	Character - Wizard - Slytherin				R	Unique		"Once during each of your turns, when you play a Lesson, you may choose a Lesson type. Until the end of your turn, this card provides 1 Power of the chosen type."
Vera Verto	Heir_of_Slytherin	Vera_Verto.png	Spell	5T			U		Transfiguration	"Choose a Creature in play. It becomes an Item that has no abilities, keywords (except Unique), damage each turn, or health while it is in play."
Voyages with Vampires	Heir_of_Slytherin	Voyages_with_Vampires.png	Item - Book	3F			U		Creatures	"Provides [F].  During your turn, you may discard this card from play. If you do, choose a non-Healing Creature with printed Power cost 2 or less in your discard pile. Play it as if it were in your hand. (You must still use an Action to play the card.)"
Wandering Knockturn	Heir_of_Slytherin	Wandering_Knockturn.png	Adventure				R			"Play this card only if you have at least 5 Lessons in play.  Effect: After your opponent uses an Action to play a Creature or Item, they discard that card from play.  To Solve: Your opponent discards 2 cards in this way.  Opponent's Reward: Your opponent "
Whispers from the Pipes	Heir_of_Slytherin	Whispers_from_the_Pipes.png	Adventure				U			"Effect: Before each of your opponent's turns, they reveal the top card of their deck. You may take 1 damage to put that card on the bottom of their deck.  To Solve: Your opponent puts their hand on the bottom of their deck in any order.  Opponent's Reward: Your opponent names a card type. Reveal your hand and discard all cards of the chosen type."
Winter Match	Heir_of_Slytherin	Winter_Match.png	Match	1Q			U		Quidditch	To Win: Draw cards 7 times while this card is in play. (Drawing multiple cards at a time counts once.)  Prize: The winner may put a card from their discard pile into their hand.
Wizard Duel	Heir_of_Slytherin	Wizard_Duel.png	Spell	5C			C		Charms	Each player discards the top card of their deck. Do 8 damage to each player who discarded a card with the lowest printed Power cost. (Cards with no printed Power cost count as 0.)
